sample_rep,analysis_date,avg_thiamine_t0,avg_thiamine_t1,sd_thiamine_t0,sd_thiamine_t1,rsd_t0,rsd_t1,abs_thiamine_difference
NIST_A,2024-02-07,9.492346457541704,9.61681758158838,0.1473370389569708,0.06298247066600844,1.552166680978137,0.6549200931770801,0.1244711240466767
NIST_B,2024-02-07,10.153441399196918,9.898940900638694,0.1679712995477949,0.1442147340735173,1.6543287437605196,1.456870341191878,0.2545004985582242
NIST_C,2024-02-07,9.641240197267363,10.073941574366023,0.03714179696405768,0.07367328485879109,0.3852387888291058,0.7313253140782437,0.43270137709865963
NIST_D,2024-02-07,10.134913897647346,9.805966529226293,0.026357832799225444,0.008348851787664036,0.26006962728458877,0.08514052911337822,0.3289473684210531
NIST_E,2024-02-07,9.700528202225996,9.837968577357373,0.05062126179959679,0.05473153449781023,0.5218402621414022,0.5563296331701838,0.1374403751313764
NIST_F,2024-02-07,10.13002937451155,10.127166033362977,0.06682966746633111,0.2508945218272075,0.6597183976038915,2.4774405890123607,0.0028633411485721183
NIST_G,2024-02-10,9.538946487948946,9.583178435462663,0.4929341990387727,0.15259544152689095,5.167595810098343,1.5923259965838654,0.044231947513717174
NIST_H,2024-02-10,9.316581989164034,9.281988131380933,0.3142952624290315,0.502911383666487,3.373503960943866,5.418142929597412,0.034593857783100646
NIST_I,2024-02-10,9.213660959540677,9.172010643204803,0.2235263280627832,0.17204152359698488,2.4260316180977264,1.8757231133878367,0.04165031633587368
NIST_J,2024-02-10,9.423117302436372,9.32191736026491,0.07072224571284025,0.15882914534157677,0.7505185751487443,1.7038248592354306,0.101199942171462
NIST_K,2024-02-10,9.242058902496955,9.029676710933037,0.2498234766644932,0.20257191997478466,2.7031149584752985,2.2434016904449385,0.21238219156391835
NIST_L,2024-02-10,9.676977701590973,9.29128200362117,0.054217532897414655,0.1602120734007856,0.5602734094189434,1.724326883398274,0.38569569796980296
NIST_M,2024-02-11,9.465015936015394,9.822072884719466,0.059221334928171485,0.09124262360504855,0.6256865844549505,0.9289548619314139,0.3570569487040718
NIST_N,2024-02-11,10.147746406879548,9.599570028263877,0.06414484527990418,0.13759939137917318,0.6321092655253773,1.4333911932934629,0.5481763786156719
NIST_O,2024-02-11,9.745023753683325,9.865483492693487,0.08313773021678827,0.05569392197936555,0.8531300930422536,0.5645331221790928,0.12045973901016183
NIST_P,2024-02-11,10.01244061579169,9.680377653496903,0.0500278732330544,0.03782892201364943,0.4996571280947235,0.39077940311537596,0.3320629622947866
