sample,rep,t0.1,t0.2,t0.3,t1.1,t1.2,t1.3,analysis_date,run_cal_slope,run_cal_intercept
NIST,A,18739,18998,19321,19213,19176,19408,2/7/2024,1979.04,233.6
NIST,B,20580,20452,19951,19952,20023,19497,2/7/2024,1979.04,233.6
NIST,C,19315,19240,19387,20252,20257,20002,2/7/2024,1979.04,233.6
NIST,D,20310,20232,20331,19657,19624,19639,2/7/2024,1979.04,233.6
NIST,E,19375,19547,19372,19612,19675,19823,2/7/2024,1979.04,233.6
NIST,F,20433,20190,20221,20844,20057,19926,2/7/2024,1979.04,233.6
NIST,G,17920,18248,19713,18420,18707,19011,2/10/2024,1936.76,152.35
NIST,H,18883,17983,17723,17006,18739,18643,2/10/2024,1936.76,152.35
NIST,I,18365,18106,17520,17532,18124,18093,2/10/2024,1936.76,152.35
NIST,J,18310,18560,18338,18519,18197,17904,2/10/2024,1936.76,152.35
NIST,K,18577,17955,17624,17258,17622,18042,2/10/2024,1936.76,152.35
NIST,L,19000,18893,18790,17822,18180,18440,2/10/2024,1936.76,152.35
NIST,M,16987,17110,17196,17595,17688,17910,2/11/2024,1773.76,309
NIST,N,18240,18440,18246,17343,17577,17089,2/11/2024,1773.76,309
NIST,O,17764,17522,17497,17878,17695,17851,2/11/2024,1773.76,309
NIST,P,18171,18013,18022,17556,17430,17453,2/11/2024,1773.76,309
